"seq ID","A1","R1","R2","R3","R4","R5","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10"
"39","2","1","1","2","2","2","1","2","1","1","1","1","1","2","2","2"
"39","2","1","1","2","2","2","2","2","2","2","2","2","1","1","2","1"
"39","2","1","1","2","2","2","2","2","2","2","1","1","1","2","1","2"
"39","2","1","1","2","2","2","2","1","1","1","2","2","1","1","1","2"
"39","2","1","1","2","2","2","1","2","2","1","1","1","2","2","1","2"
"40","2","1","1","2","1","2","1","2","1","1","2","1","2","2","2","2"
"40","2","1","1","2","1","2","1","2","1","2","2","2","2","1","2","1"
"40","2","1","1","2","1","2","1","1","1","2","1","1","1","1","2","2"
"40","2","1","1","2","1","2","2","2","2","2","1","2","2","2","2","2"
"40","2","1","1","2","1","2","2","2","1","2","1","1","2","1","2","1"
"40","2","1","1","2","1","2","2","1","2","2","1","2","2","1","2","2"
"40","2","1","1","2","1","2","2","1","1","2","1","1","1","2","2","2"
"40","2","1","1","2","1","2","2","1","2","2","1","2","2","1","2","1"
"40","2","1","1","2","1","2","1","1","2","2","2","1","1","2","2","1"
"40","2","1","1","2","1","2","1","1","2","1","1","2","2","1","1","2"
